t(days)	RNP(psia2/cp-D/Mscf)
0.25	199669332.89241058
0.33040833333333336	1956511.4924027447
0.4861958333333333	255115172.164953
0.7977666666666666	204721803.07556164
1.4209083333333332	143888611.09898478
2.667195833333333	19413349.629979838
5.07725	203341045.01777536
9.897375	722216.5355874449
19.198041666666665	260574524.18062577
35.644875	208484413.05393642
66.05958333333334	35331445.15592683
124.99208333333333	39370493.025379315
188.99208333333334	161457081.8368867
252.99208333333334	173068883.10145712
316.99208333333337	63271667.865449026
380.9920833333333	81667994.54208168
444.9916666666666	335930398.3473524
508.9916666666666	297291891.0176436
572.9916666666667	101934598.06771217
636.9916666666667	107205726.35597749
700.9916666666667	112852915.40841524
764.9916666666667	118240033.64701241
828.9916666666667	330130946.48787385
892.9916666666667	101402001.20484361
956.9916666666667	133134715.11106944
1020.9916666666667	359244973.00520825
1084.9916666666666	265102770.68667543
1148.9916666666666	146559511.3371095
1212.9916666666666	325134364.51700133
1276.9916666666666	391745860.54133594
1340.9916666666666	27352432.327919856
1404.9916666666668	162794908.65718612
1468.9916666666668	166616873.85877645
1532.9916666666668	125016858.19337383
1596.9916666666668	432785278.95011115
1660.9916666666668	292103996.7497399
1724.9916666666668	11776915.675472349
1788.9916666666668	184622514.39057633
1852.9916666666668	188037042.8047953
1916.9916666666668	294571380.31843543
1980.9916666666668	227310611.18381238
2044.9916666666668	54175650.69693607
2108.991666666667	309816628.39504683
2172.991666666667	204396026.01222086
2236.991666666667	407582928.5603545
2300.991666666667	41179509.174943775
2364.991666666667	347148411.87438893
2428.991666666667	477445640.11839163
2492.991666666667	421743702.7151522
2556.991666666667	222825336.34458113
2620.991666666667	451878174.15947074
2684.991666666667	47096242.00985345
2748.991666666667	231698187.59576446
2812.991666666667	410248934.8801297
2876.991666666667	237519010.22201517
2940.991666666667	92460091.23183519
3004.991666666667	481661850.78756577
3068.991666666667	234132019.63995746
3132.991666666667	248986571.43882632
3196.991666666667	290337391.37900895
3260.991666666667	254653346.55190668
3324.991666666667	119815073.49604756
3388.991666666667	432499112.5468525
3452.991666666667	201283496.1934396
3516.991666666667	500548611.63963044
3580.991666666667	268694764.6189113
3650.0	271705372.18945765
3714.0	480497937.3304751
3778.0	278930832.2013141
3842.0	307939779.7774311
3906.0	179315406.1040758
3970.0	109776281.80300266
4034.0	288424511.00431275
4098.0	291210423.4233365
4162.0	293997733.4407506
4226.0	296785908.07292485
4290.0	299576357.2538301
4354.0	302369668.98874485
4418.0	305165523.374914
4482.0	307964641.9676603
4546.0	310766807.18971515
4610.0	313573941.2485879
4674.0	316384920.3660676
4738.0	319200765.7977119
4802.0	322021495.22140443
4866.0	324847162.104427
4930.0	327677857.4098492
4994.0	330514885.0612758
5058.0	333357283.00328684
5122.0	336206480.25779885
5186.0	339060327.52895206
5250.0	341921580.3480016
5314.0	344790655.7024004
5378.0	347665424.54176015
5442.0	350547599.16987944
5506.0	353436347.3857875
5570.0	356334897.29313457
5634.0	359238392.2972292
5698.0	362150131.0718024
5762.0	365070788.2935507
5826.0	367999646.0533107
5890.0	370934479.3843298
5954.0	373880449.78449535
6018.0	376832388.5205003
6082.0	379794111.82235944
6146.0	382763401.0183122
6210.0	385742709.46892184
6274.0	388728167.0547055
6338.0	391725570.14173484
6402.0	394731047.9447139
6466.0	397743901.4863828
6530.0	400766857.2159577
6594.0	403799320.9293648
6658.0	406840674.9565253
6722.0	409893888.2770246
6786.0	412952960.76070493
6850.0	416022700.89089435
6914.0	419102560.3952134
6978.0	422191969.318306
7042.0	425290335.70223016
7106.0	428399017.1894345
7170.0	431517463.2993539
7234.0	434645102.3892468
7300.0	437882267.2112007
7364.0	441030036.2245989
7428.0	444187347.2013509
7492.0	447357933.14076734
7556.0	450534846.66372013
7620.0	453724022.9539432
7684.0	456922776.4247508
7748.0	460132826.8299062
7812.0	463351387.9400018
7876.0	466582543.2489166
7940.0	469823501.2716356
8004.0	473073726.3737058
8068.0	476332663.6456929
8132.0	479607153.0831864
8196.0	482889389.4954453
8260.0	486181301.1774782
8324.0	489484934.54440796
8388.0	492799847.9522006
8452.0	496125582.96100944
8516.0	499461664.078591
8580.0	502807598.51110023
8644.0	506165628.72217983
8708.0	509532547.25745326
8772.0	512910635.6674675
8836.0	516302307.1107868
8900.0	519704305.7616323
8964.0	523116148.725815
9028.0	526537336.2699547
9092.0	529973387.2651337
9156.0	533417889.27202654
9220.0	536873389.7747666
9284.0	540342578.955218
9348.0	543821938.0881422
9412.0	547310989.6818249
9476.0	550812499.9077023
9540.0	554322782.1915964
9604.0	557847998.2522142
9668.0	561381088.2904247
9732.0	564928353.2492726
9796.0	568486006.0739983
9860.0	572057104.389277
9924.0	575637746.4538482
9988.0	579227444.0617919
10052.0	582829343.1133891
10116.0	586446755.120665
10180.0	590071937.9455806
10244.0	593711917.5575542
10308.0	597358740.4808966
10372.0	601019589.4455041
10436.0	604694153.0511243
10500.0	608378131.0263083
10564.0	612075067.6356385
10628.0	615780539.2607211
10692.0	619502283.0164121
10756.0	623231725.4235784
10820.0	626976775.3358526
10884.0	630728633.8644519
10950.0	634616525.0717988
11014.0	638394963.0927631
11078.0	642183212.8202795
11142.0	645985302.583427
11206.0	649800922.1968096
11270.0	653629750.0818508
11334.0	657466808.5477659
11398.0	661316288.0640403
11462.0	665182584.4392682
11526.0	669055874.5446253
11590.0	672940474.786553
11654.0	676840912.2831342
11718.0	680751971.125579
11782.0	684673232.2865283
11846.0	688609358.6996111
11910.0	692554927.4805757
11974.0	696514694.3198324
12038.0	700488367.6872941
12102.0	704470313.1743633
12166.0	708465429.05734
12230.0	712478844.385619
12294.0	716499376.2993544
12358.0	720532070.5159533
12422.0	724576568.4243668
12486.0	728632499.9561946
12550.0	732705251.7233602
12614.0	736788790.8643633
12678.0	740882713.6157033
12742.0	744992567.5346774
12806.0	749112093.4031283
12870.0	753240852.4219575
12934.0	757390720.2389662
12998.0	761542945.7369541
13062.0	765715749.4644386
13126.0	769896319.5440717
13190.0	774097034.7201585
13254.0	778304787.4594803
13318.0	782519056.3362199
13382.0	786752607.7331833
13446.0	790998601.7831283
13510.0	795263492.1336807
13574.0	799533409.0838422
13638.0	803814712.479204
13702.0	808114045.3108444
13766.0	812424156.1864265
13830.0	816744651.1198105
13894.0	821082368.6317128
13958.0	825429802.1729325
14022.0	829793923.7197276
14086.0	834167053.4220471
14150.0	838556298.7386442
14214.0	842953803.443602
14278.0	847366812.5025461
14342.0	851787290.2731425
14406.0	856230498.3983426
14470.0	860680505.7049489
14534.0	865144840.2949018
14600.0	869761382.3935541
14664.0	874254964.3458767
14728.0	878762028.9340445
14792.0	883273889.705745
14856.0	887806912.882684
14920.0	892352478.8287741
14984.0	896910255.5186585
15048.0	901479901.2447056
15112.0	906069885.3599627
15176.0	910662294.3679515
15240.0	915274489.692724
15304.0	919897270.8838698
15368.0	924530248.089291
15432.0	929182297.6987975
15496.0	933843918.850573
15560.0	938520370.6538167
15624.0	943210437.7212949
15688.0	947913823.622502
15752.0	952630223.1007174
15816.0	957360306.7472645
15880.0	962104775.2314781
15944.0	966862351.0864346
16008.0	971633737.4711822
16072.0	976416595.512315
16136.0	981213669.3994055
16200.0	986023637.1480614
16264.0	990848292.1133729
16328.0	995687370.9186485
16392.0	1000539526.4907321
16456.0	1005405533.847665
16520.0	1010285104.8325447
16584.0	1015179050.2246954
16648.0	1020084861.0479568
16712.0	1025004449.2017521
16776.0	1029937525.0032606
16840.0	1034884941.1825398
16904.0	1039845262.6872795
16968.0	1044820520.6764991
17032.0	1049810459.1614194
17096.0	1054813618.9443741
17160.0	1059830901.1656772
17224.0	1064860807.7317902
17288.0	1069904246.1144958
17352.0	1074963403.3546624
17416.0	1080035538.8754299
17480.0	1085120340.5007014
17544.0	1090220041.8003585
17608.0	1095333096.5937655
17672.0	1100459203.9398234
17736.0	1105601994.8230596
17800.0	1110759936.6553762
17864.0	1115930102.5695693
17928.0	1121114860.5667226
17992.0	1126311218.3057308
18056.0	1131521577.4536808
18120.0	1136745655.9290597
18184.0	1141984565.1119246
18250.0	1147404941.2969117
18314.0	1152674263.8861942
18378.0	1157959069.8523357
18442.0	1163256209.5043695
18506.0	1168566821.2841928
18570.0	1173892088.9018407
18634.0	1179231748.066553
18698.0	1184585527.1137567
18762.0	1189953146.9157217
18826.0	1195335856.0147114
18890.0	1200733401.7678158
18954.0	1206145524.3958514
19018.0	1211570379.6848714
19082.0	1217009242.140864
19146.0	1222463435.445184
19210.0	1227931093.1935768
19274.0	1233413553.2078488
19338.0	1238910554.8613412
19402.0	1244421830.3960402
19466.0	1249948783.547474
19530.0	1255492870.422294
19594.0	1261048765.8346994
19658.0	1266619575.7743
19722.0	1272205041.8748465
19786.0	1277803144.39766
19850.0	1283415334.353845
19914.0	1289043117.1542153
19978.0	1294684451.5539136
20042.0	1300342676.9294183
20106.0	1306013921.5688026
20170.0	1311699725.6570098
20234.0	1317399821.4264634
20298.0	1323115815.0958917
20362.0	1328847473.7878299
20426.0	1334592644.363699
20490.0	1340352961.5376978
20554.0	1346130119.3746
20618.0	1351919981.0060143
20682.0	1357724210.2926645
20746.0	1363542533.885833
20810.0	1369374671.477047
20874.0	1375222367.7842643
20938.0	1381085380.4253027
21002.0	1386963460.526542
21066.0	1392858437.1618433
21130.0	1398767999.1764667
21194.0	1404691878.1218488
21258.0	1410631936.8086393
21322.0	1416583635.0995607
21386.0	1422553152.7137375
21450.0	1428535918.1893687
21514.0	1434531629.0767553
21578.0	1440544435.1397543
21642.0	1446571883.2916212
21706.0	1452613706.5327203
21770.0	1458671917.3662734
21834.0	1464746292.6292598
21900.0	1471027232.8947997
21964.0	1477130140.6413665
22028.0	1483250803.374254
